Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
21.7000      -1147.6418   -1147.8364       0.1945  1505.0
21.8000      -1147.6234   -1147.8275       0.2041  1578.9
21.9000      -1147.6452   -1147.8327       0.1875  1450.7
22.0000      -1147.6405   -1147.8287       0.1882  1456.2
22.1000      -1147.6464   -1147.8608       0.2145  1659.2
22.2000      -1147.6480   -1147.8285       0.1805  1396.4
22.3000      -1147.6411   -1147.8363       0.1952  1510.0
22.4000      -1147.6451   -1147.8393       0.1942  1502.3
22.5000      -1147.5862   -1147.7968       0.2106  1629.3
22.6000      -1147.6586   -1147.8596       0.2011  1555.7
22.7000      -1147.6380   -1147.8423       0.2043  1580.9
22.8000      -1147.6003   -1147.8180       0.2177  1684.5
22.9000      -1147.6151   -1147.8178       0.2027  1568.2
23.0000      -1147.6546   -1147.8411       0.1865  1442.6
23.1000      -1147.5860   -1147.8112       0.2252  1742.0
23.2000      -1147.6010   -1147.8147       0.2136  1652.8
23.3000      -1147.6048   -1147.8214       0.2166  1675.7
23.4000      -1147.5715   -1147.8009       0.2293  1774.3
23.5000      -1147.5773   -1147.7976       0.2203  1704.3
23.6000      -1147.6327   -1147.8174       0.1847  1428.8
23.7000      -1147.6118   -1147.8110       0.1992  1540.8
23.8000      -1147.6257   -1147.8198       0.1940  1501.0
23.9000      -1147.5971   -1147.8119       0.2148  1662.0
24.0000      -1147.6187   -1147.8259       0.2073  1603.6
24.1000      -1147.6376   -1147.8249       0.1873  1448.8
24.2000      -1147.6411   -1147.8406       0.1995  1543.3
24.3000      -1147.6350   -1147.8676       0.2326  1799.3
24.4000      -1147.6255   -1147.8362       0.2107  1630.4
24.5000      -1147.6571   -1147.8345       0.1773  1371.9
24.6000      -1147.6567   -1147.8385       0.1818  1406.2
24.7000      -1147.6159   -1147.8353       0.2194  1697.3
24.8000      -1147.6372   -1147.7989       0.1617  1250.9
24.9000      -1147.6556   -1147.8507       0.1951  1509.7
25.0000      -1147.6880   -1147.8685       0.1805  1396.3
25.1000      -1147.6524   -1147.8472       0.1949  1507.7
25.2000      -1147.6326   -1147.8138       0.1812  1401.6
25.3000      -1147.6359   -1147.8337       0.1979  1530.7
25.4000      -1147.6158   -1147.8450       0.2292  1773.2
25.5000      -1147.6508   -1147.8357       0.1850  1431.2
25.6000      -1147.6272   -1147.8458       0.2186  1691.5
25.7000      -1147.6328   -1147.8323       0.1995  1543.0
25.8000      -1147.6361   -1147.8324       0.1963  1518.8
25.9000      -1147.6068   -1147.8238       0.2170  1678.5
26.0000      -1147.6934   -1147.8630       0.1696  1312.2
26.1000      -1147.6877   -1147.8710       0.1833  1417.9
26.2000      -1147.6953   -1147.8624       0.1671  1292.5
26.3000      -1147.6981   -1147.8573       0.1592  1231.6
26.4000      -1147.6514   -1147.8665       0.2151  1663.7
26.5000      -1147.6272   -1147.8062       0.1790  1384.6
26.6000      -1147.6698   -1147.8284       0.1586  1226.8
26.7000      -1147.6437   -1147.8403       0.1966  1521.2
26.8000      -1147.6763   -1147.8716       0.1953  1510.6
26.9000      -1147.6714   -1147.8364       0.1651  1277.0
